key,doi,status,note
Aukema_2006,10.1111/j.2006.0906-7590.04445.x,written,
Aukema_2008,10.1111/j.0906-7590.2007.05453.x,written,
Bjornstad_2001,10.1023/a:1009601932481,written,
Bright_2020,10.3390/f11050529,written,
Chen_2011,10.1890/es10-00172.1,written,
Chen_2014,10.1111/j.1600-0587.2013.00470.x,written,
Clark_2001,10.1086/319934,written,
Coggins_2008,10.5558/tfc84900-6,written,
Coleman_2018,10.1016/j.foreco.2018.08.020,written,
Cooke_2017,10.1016/j.foreco.2017.04.008,written,
Fox_2011,10.1111/j.1461-0248.2010.01567.x,written,
Franklin_2003,10.14358/pers.69.3.283,written,
Gamarra_2008,10.1111/j.1365-2656.2008.01389.x,written,
Gilbert_2010,10.1111/j.1600-0587.2009.06018.x,written,
Giroday_2012,10.1111/j.1365-2699.2011.02673.x,written,
Jackson_2008,10.1139/x08-066,written,
Johnson_2008a,10.1080/00049158.2008.10675037,written,
Johnson_2008b,10.1080/00049158.2008.10675038,written,
Johnson_2026,10.1002/ecy.70305,written,
Koenig_2002,10.1034/j.1600-0587.2002.250304.x,written,
Lande_1999,10.1086/303240,written,
MacLean_1996,10.1139/x26-238,written,
MaciasFauria_2009,10.1029/2008jg000760,written,
Meddens_2014,10.1016/j.foreco.2014.02.037,written,
Peltonen_2002,10.1890/0012-9658(2002)083[3120:SSIFIO]2.0.CO;2,written,
Perbet_2025,10.1038/s41597-025-06269-x,written,
Perevaryukha_2016,10.1134/S0006350916020147,written,
Perevaryukha_2019,10.1007/s10559-019-00119-6,written,
Robertson_2009,10.1111/j.1365-2699.2009.02100.x,written,
Safranyik_1992,10.1111/j.1439-0418.1992.tb00687.x,written,
Safranyik_2010,10.4039/n08-cpa01,written,
Senf_2017,10.1016/j.jag.2017.04.004,written,
Shegelski_2019,10.1111/afe.12305,written,
Skellam_1951,10.2307/2332328,written,
Tobin_2015,10.1079/9781780643946.0131,written,
Ye_2021,10.1016/j.rse.2021.112560,written,
