key,doi,status,first_author,year,title,container,volume,issue,page,type,n_authors
Aukema_2006,10.1111/j.2006.0906-7590.04445.x,verified,Aukema,2006,"Landscape level analysis of mountain pine beetle in British Columbia, Canada: spatiotemporal development and spatial synchrony within the present outbreak",Ecography,29,3,427-441,journal-article,6
Aukema_2008,10.1111/j.0906-7590.2007.05453.x,verified,Aukema,2008,Movement of outbreak populations of mountain pine beetle: influences of spatiotemporal patterns and climate,Ecography,31,3,348-358,journal-article,8
Zhu_2014,10.1111/j.1600-0587.2013.00470.x,verified,Chen,2014,"A spatiotemporal pattern analysis of historical mountain pine beetle outbreaks in British Columbia, Canada",Ecography,37,4,344-356,journal-article,1
Zhu_2011,10.1890/es10-00172.1,verified,Chen,2011,Mountain pine beetle dispersal: spatiotemporal patterns and role in the spread and expansion of the present outbreak,Ecosphere,2,6,art66,journal-article,2
Preisler_2009,10.1029/2008jg000760,verified,Macias Fauria,2009,"Large‐scale climatic patterns and area affected by mountain pine beetle in British Columbia, Canada",Journal of Geophysical Research: Biogeosciences,114,G1,,journal-article,2
Sambaraju_2008,10.1111/j.1365-2656.2008.01389.x,verified,Gamarra,2008,Spatial scaling of mountain pine beetle infestations,Journal of Animal Ecology,77,4,796-801,journal-article,2
Robertson_2009,10.1111/j.1365-2699.2009.02100.x,verified,Robertson,2009,"Spatial–temporal analysis of species range expansion: the case of the mountain pine beetle,<i>Dendroctonus ponderosae</i>",Journal of Biogeography,36,8,1446-1458,journal-article,5
deLaGiroday_2012,10.1111/j.1365-2699.2011.02673.x,verified,de la Giroday,2012,Breach of the northern Rocky Mountain geoclimatic barrier: initiation of range expansion by the mountain pine beetle,Journal of Biogeography,39,6,1112-1123,journal-article,3
Jackson_2008,10.1139/x08-066,verified,Jackson,2008,"Radar observation and aerial capture of mountain pine beetle,<i>Dendroctonus ponderosae</i>Hopk. (Coleoptera: Scolytidae) in flight above the forest canopy",Canadian Journal of Forest Research,38,8,2313-2327,journal-article,5
Safranyik_1992,10.1111/j.1439-0418.1992.tb00687.x,verified,Safranyik,1992,Dispersal of released mountain pine beetles under the canopy of a mature lodgepole pine stand,Journal of Applied Entomology,113,1-5,441-450,journal-article,4
Evenden_2018,10.1111/afe.12305,verified,Shegelski,2019,"Morphological variation associated with dispersal capacity in a tree‐killing bark beetle
                    <i>Dendroctonus ponderosae</i>
                    Hopkins",Agricultural and Forest Entomology,21,1,79-87,journal-article,3
Howard_2026,10.1002/ecy.70305,verified,Johnson,2026,Modeling stratified dispersal in forest pests: A case study of the mountain pine beetle in Alberta,Ecology,107,2,,journal-article,3
CookeCarroll_2017,10.1016/j.foreco.2016.11.035,verified,Bayranvand,2017,Humus forms in relation to altitude and forest type in the Northern mountainous regions of Iran,Forest Ecology and Management,385,,78-86,journal-article,4
GilbertLiebhold_2010,10.1111/j.1600-0587.2009.06018.x,verified,Gilbert,2010,Comparing methods for measuring the rate of spread of invading populations,Ecography,33,5,809-817,journal-article,2
Tobin_2015,10.1079/9781780643946.0131,verified,Tobin,2015,Estimating spread rates of non-native species: the gypsy moth as a case study.,Pest risk modelling and mapping for invasive alien species,,,131-144,book-chapter,4
Clark_2001,10.1086/319934,verified,Clark,2001,Invasion by Extremes: Population Spread with Variation in Dispersal and Reproduction,The American Naturalist,157,5,537-554,journal-article,3
Peltonen_2002,10.1890/0012-9658(2002)083[3120:SSIFIO]2.0.CO;2,verified,Peltonen,2002,SPATIAL SYNCHRONY IN FOREST INSECT OUTBREAKS: ROLES OF REGIONAL STOCHASTICITY AND DISPERSAL,Ecology,83,11,3120-3129,journal-article,4
Lande_1999,10.1086/303240,verified,Lande,1999,Spatial Scale of Population Synchrony: Environmental Correlation versus Dispersal and Density Regulation,The American Naturalist,154,3,271-281,journal-article,3
Koenig_2002,10.1034/j.1600-0587.2002.250304.x,verified,Koenig,2002,Global patterns of environmental synchrony and the Moran effect,Ecography,25,3,283-288,journal-article,1
Coleman_2018,10.1016/j.foreco.2018.08.020,verified,Coleman,2018,Accuracy of aerial detection surveys for mapping insect and disease disturbances in the United States,Forest Ecology and Management,430,,321-336,journal-article,7
JohnsonRoss_2008a,10.1080/00049158.2008.10675037,verified,Johnson,2008,Aerial detection surveys in the United States,Australian Forestry,71,3,212-215,journal-article,2
JohnsonRoss_2008b,10.1080/00049158.2008.10675038,verified,Johnson,2008,Quantifying error in aerial survey data,Australian Forestry,71,3,216-222,journal-article,2
Bright_2020,10.3390/f11050529,verified,Bright,2020,"Using Satellite Imagery to Evaluate Bark Beetle-Caused Tree Mortality Reported in Aerial Surveys in a Mixed Conifer Forest in Northern Idaho, USA",Forests,11,5,529,journal-article,7
Hall_1996,10.1139/x26-238,verified,MacLean,1996,Accuracy of aerial sketch-mapping estimates of spruce budworm defoliation in New Brunswick,Canadian Journal of Forest Research,26,12,2099-2108,journal-article,2
Perbet_2025,10.1038/s41597-025-06269-x,verified,Perbet,2025,Historical insect disturbance maps from 1985 onwards for Canadian forests derived using earth observation data,Scientific Data,12,1,,journal-article,6
Wulder_2003,10.14358/pers.69.3.283,verified,Franklin,2003,"Mountain Pine Beetle Red-Attack Forest Damage Classification Using Stratified Landsat TM Data in British Columbia, Canada",Photogrammetric Engineering &amp; Remote Sensing,69,3,283-288,journal-article,4
Wulder_2008,10.5558/tfc84900-6,verified,Coggins,2008,Linking survey detection accuracy with ability to mitigate populations of mountain pine beetle,The Forestry Chronicle,84,6,900-909,journal-article,4
VasseurFox_2011,10.1111/j.1461-0248.2010.01567.x,verified,Fox,2011,"Phase locking, the Moran effect and distance decay of synchrony: experimental tests in a model system",Ecology Letters,14,2,163-168,journal-article,4
Kendall_2000,10.1034/j.1600-0706.2000.900202.x,verified,Fox,2000,Food web structure and the strength of transient indirect effects,Oikos,90,2,219-226,journal-article,2
Meddens_2014,10.1016/j.rse.2014.03.027,verified,Sobrino,2014,Minimum configuration of thermal infrared bands for land surface temperature and emissivity estimation in the context of potential future missions,Remote Sensing of Environment,148,,158-167,journal-article,2
Cerezke_1989,10.4039/ent121337-2,FAILED HTTP Error 404: Not Found,,,,,,,,,
Bjornstad_2001,10.1016/s0169-5347(01)02097-5,FAILED HTTP Error 404: Not Found,,,,,,,,,
