key,doi,year,venue,citations,questions,ranks,title,abstract
doi:10.1029/2008jg000760,10.1029/2008jg000760,2009,,51,q1,q1:11:12.4*,"Large‐scale climatic patterns and area affected by mountain pine beetle in British Columbia, Canada","We present evidence of high spatial synchrony in an area affected by mountain pine beetle (MPB, Dendroctonus ponderosae ) across large distances in British Columbia, Canada, in a study of a spatially explicit database of an area affected by MPB‐caused tree mortality for the period 1959–2002. We further show that large‐scale climatic patterns (Pacific Decadal Oscillation (PDO) and, to a lesser degree, Arctic Oscillation (AO)) are strongly related to the observed MPB synchrony, and that they probably operate through controlling the frequency of extreme cold winter temperatures that affect MPB larvae survival. A smaller portion of the data's variability is linked to the onset of the two largest outbreaks in the studied period and might be attributed to dispersal from outbreak‐prone areas or else to differences in microhabitat (e.g., host availability) in these regions. The onset of a warm PDO phase in 1976 favored MPB outbreaks by reducing the occurrence of extremely low winter temperatures province‐wide. Likewise, the exceptionally high and persistent AO values of the late 1980s and 1990s enhanced MPB activity in the southern and northern parts of the region. Summer warmth cannot be discarded as an important agent at smaller scales."
doi:10.1093/wjaf/20.2.128,10.1093/wjaf/20.2.128,2005,,17,q1,q1:13:12.29*,Productivity and Cost of Partial Harvesting Method to Control Mountain Pine Beetle Infestations in British Columbia,"Abstract Small patch cutting (&lt;1 ha in size) in mature lodgepole pine (Pinus contorta Douglas var. latifolia Engelmann) stands has been introduced in central British Columbia, Canada to slow the spread of mountain pine beetle (Dendroctonus ponderosae Hopk.) populations. This practice is locally referred to as “Snip and Skid” logging. This article addresses the operational challenges of implementing the method, with an emphasis on the cost of each phase of logging. Total stump-to-truck expenses incurred with Snip and Skid logging in each patch at an average of C$17.00/m3 (C$14.98 to C$19.71/m3). However, if one includes other cost allowances, such as overhead and profit for the logging contractor, the overall cost is C$22.28/m3. These costs greatly increase when trees are smaller. Other costs for implementing the Snip and Skid method, such as planning and layout, ground probing, and baiting, further increase the total cost of implementation. Walking and low-bedding, that are not required for typical timber-production logging operations, accounted for 57% of the total delay in Snip and Skid logging. In this particular study, five trees were damaged per 100 m along the skid trails created to access the patches, but we found no high stumps or significant impacts on soils. West. J. Appl. For. 20(2):128–133."
doi:10.1139/cjfr-2015-0104,10.1139/cjfr-2015-0104,2015,,11,q1,q1:14:12.25*,Advance regeneration and trajectories of stand development following the mountain pine beetle outbreak in boreal forests of British Columbia,"A mountain pine beetle (Dendroctonus ponderosae Hopkins) outbreak has recently spread into boreal forests, with unknown consequences for this ecosystem. We intensively sampled 12 stands affected by the current outbreak in northern British Columbia to determine the potential of western boreal forests to recover from this novel disturbance. We sampled the species composition, size structure, and spatial distribution (using 5 m × 5 m subplots, 40 per stand) of live and dead trees and used a variety of analyses, including ordinations, to assess potential developmental trajectories of stands. Advance regeneration (stems &lt; 10 m tall) varied greatly in abundance among stands (50–18 280 stems·ha −1 ). However, most subplots contained at least one individual; only three stands had many empty subplots. We conclude that most stands have enough advance regeneration and residual canopy trees to form a nearly continuous new canopy. Ordinations indicate that species composition will shift substantially and become more divergent among stands. Species of high economic value will remain common, though, and active management will not be necessary in most stands to maintain productive forests. However, this novel disturbance will have very different effects on these forests than the typical fire-disturbance regime and is likely to deflect these forests into new successional trajectories."
doi:10.13031/2013.21165,10.13031/2013.21165,2006,,3,q1,q1:15:12.14*,A Conceptual Comparison of Biopower Generation Options,"Biomass is a renewable fuel and is considered nearly carbon neutral. There are myriadoptions for its usage and it is important to evaluate different bioenergy options. Apart from usage ofbiomass for electricity, biomass can be used to produce liquid fuels such as bio-oil. Electricity can begenerated from biomass: by direct combustion of biomass; or by production of bio-oil throughpyrolysis of biomass and combustion of bio-oil to produce electricity. The benefit of production ofbio-oil is that its energy density is very high as compared to as received biomass. A decision on thebio-power production method should be based on the most economic and mature route. This studyanalyzes mountain pine beetle (MPB) killed wood as the feedstock for production of electricitythrough the bio-oil route and compares it with the direct combustion route of biomass to produceelectricity. The MPB infestation of British Columbias (BC) forest has reached an epidemicproportion and is spread over an area of 10 million hectares. According to the current estimates ofBCs Ministry of Forests and Range, about 1 billion cu. m of trees would be killed by MPB by 2013.This infestation would result in large scale loss of jobs and the standing dead trees are a fire hazardand if left unharvested will decay and release carbon back to the atmosphere. The cost of bio-oilproduction from a 220 dry tonnes per day plant using the infested wood for two locations (one remoteand other near the industry) in BC is in the rang"
doi:10.1080/17524032.2024.2306580,10.1080/17524032.2024.2306580,2024,Environmental Communication,1,q1,q1:16:12.07*,Whose Authority Drives the Narrative?: Framing the Spread of Mountain Pine Beetle in Canadian News Media,"ABSTRACT Climate change is facilitating the expansion of biorisks (invasive species, viruses, diseases) into new environments. While news media are a key site where expert authorities communicate about risks in the public sphere, there is limited understanding of how media narratives change as biorisks spread into new areas. We use mountain pine beetle (Dendroctonus ponderosae) in Canada as a case study to examine how narratives in media coverage evolved as outbreaks intensified and spread eastward. Medical narratives were more common in British Columbia, where the beetle is endemic, and war narratives were more common in Alberta, where the beetle spread and is considered a “native invasive” species. Narrative framing in both places was driven by journalists, while quotes by authoritative sources lent support to journalistic framing. These findings demonstrate that affective narrative frames are widespread in environmental crisis communication and that framing of crises changes dynamically based on geographic context."
doi:10.1186/1753-6561-5-s7-o3,10.1186/1753-6561-5-s7-o3,2011,BMC Proceedings,0,q1,q1:17:12.0*,"Lodgepole pine, jack pine, and their hybrids: molecular markers reveal mountain pine beetle host-range expansion into jack pine of the boreal forest","Background Lodgepole pine (Pinus contorta Dougl. ex Loud. var. latifolia) is found in western North America, extending from the Yukon into British Columbia and Washington, and along the Rocky Mountains and eastern slopes to Colorado [1]. Jack pine (Pinus banksiana Lamb.) is a closely related species found east of the Rockies, mainly in Canada’s boreal forest from the Northwest Territories to Quebec [1]. Lodgepole and jack pine ranges overlap in northern Alberta and the Northwest Territories, where these species hybridize (Fig. 1). In the absence of reliable molecular markers, morphological characteristics are commonly used to distinguish lodgepole pine, jack pine and hybrids. However, hybrids and pure species can be difficult to visually distinguish, particularly at the presumed periphery of the hybrid zone, which is poorly described. Mountain pine beetle (MPB; Dendroctonus ponderosae Hopkins) is indigenous to western North America. In the current MPB outbreak, more than 14 million hectares of mainly lodgepole pine forests have sustained MPB-caused mortality in British Columbia alone [2]. Following MPB long range dispersal into northwestern Alberta in 2006, MPB has continued its apparently unprecedented eastward spread into the lodgepole x jack pine hybrid zone of Alberta (Fig. 1). To better define this hybrid zone, we developed microsatellite and SNP markers that distinguish the pure species from hybrids. We then used the microsatellite markers to test the hypothesis that th"
doi:10.1093/molbev/msu157,10.1093/molbev/msu157,2014,Molecular biology and evolution,0,q1,q1:18:12.0*,Getting at the root of the mountain pine beetle's rapid habitat expansion and forest devastation.,"The mountain pine beetle has wreaked havoc in North America, across forests from the American Southwest to British Columbia and Alberta, with the potential to spread all the way to the Atlantic coast. Millions of acres of forest have been lost, with severe economic and ecological impacts from a beetle outbreak ten times larger than previous outbreaks. Because of its importance and impact on forestry, the mountain pine beetle's genome has been recently sequenced. Using this new resource, authors Janes et al. (2014) examined how the pine beetle could undergo such rapid habitat range expansion and whether population genetics and the cataloguing of genome wide mutations could shed any light on possible molecular causes of the outbreak. From beetles collected at 27 sites in Alberta and British Columbia, they looked for any patterns among their catalog of 1,536 mutations (single-nucleotide polymorphisms). They found several candidate genetic markers and conclude that the mountain pine beetle may have been able to spread by adjusting its cellular and metabolic functions to better withstand cooler climates and facilitate a larger geographic dispersal area. Such information could give important new clues for the forestry industry to help curb the current devastation of North American forests from this pest."
doi:10.48550/arxiv.2412.08778,10.48550/arxiv.2412.08778,2024,arXiv (Cornell University),0,q1,q1:19:12.0*,Biological barriers to forest pest invasions: A novel host tree slows mountain pine beetle range expansion,"Following widespread outbreaks across western North America, mountain pine beetle recently expanded its range from British Columbia into Alberta. However, mountain pine beetle's eastward expansion across Canada has stalled unexpectedly, defying predictions of rapid spread through jack pine, a novel host tree. This study investigates the underlying causes of this deceleration using an integrative approach combining statistical modeling, simulations, and experimental data. We find that the slow spread is primarily due to mountain pine beetle's difficulty in finding and successfully attacking jack pine trees, rather than issues with reproduction or larval development. The underlying mechanism impeding beetle range expansion has been hypothesized to be lower pine volumes in eastern forests, which are primarily a consequence of lower stem density. However, our analysis suggests that jack pine's phenotype itself is the primary impediment. We propose that jack pine's smaller size, thinner phloem, and lower monoterpene concentrations result in weaker chemical cues during the host-finding and mass-attack stages of MPB's life cycle, ultimately leading to fewer successful attacks. These findings suggest a reduced risk of further eastward spread, but should be interpreted cautiously due to enormous policy implications and the inherent limitations of ecological forecasting."
doi:10.5558/tfc81594-4,10.5558/tfc81594-4,2005,The Forestry Chronicle,0,q1,q1:20:12.0*,Fungal perspectives on the mountain pine infestation in British Columbia,"The mountain pine beetle (MPB, see figure In the past decade, the beetle population in British Columbia (BC) has exploded. Currently, the MPB epidemic affects over 100,000 km2 of lodgepole pine forests, which translates into over 173,000,000 m3 of wood with decreased value because of fungal stain or decay. The provincial government has committed over $130,000,000 to help communities cope with the effects of the beetle, to expedite harvesting practices and to contain further spread of the beetle."
doi:10.1117/1.3662866,10.1117/1.3662866,2011,,20,q1,q1:21:11.3,Combining land surface temperature and shortwave infrared reflectance for early detection of mountain pine beetle infestations in western Canada,"The current mountain pine beetle (Dendroctonus ponderosae Hopkins) outbreak, which began in 1999, continues to be the leading cause of pine tree mortality in British Columbia. Information regarding the location and spatial extent of the current attack is required for mitigating practices and forest inventory updates. This information is available from spaceborne observations. Unfortunately, the monitoring of the mountain pine beetle outbreak using remote sensing is usually limited to the visible stage at which the expansion of the attack beyond its initial hosts is unpreventable. The disruption of the sap flow caused by a blue-staining fungi carried by the beetles leads to: 1. a decrease in the amount of liquid water stored in the canopy, 2. an increase in canopy temperature, and 3. an increase in shortwave infrared reflectance shortly after the infestation. As such, the potential for early beetle detection utilizing thermal remote sensing is possible. Here we present a first attempt to detect a mountain pine beetle attack at its earliest stage (green attack stage when the foliage remains visibly green after the attack) using the temperature condition index (TCI) derived from Landsat ETM+ imagery over an affected area in British Columbia. The lack of detailed ground survey data of actual green attack areas limits the accuracy of this research. Regardless, our results show that TCI has the ability to differentiate between affected and unaffected areas in the green attack stage"
