strand,route,query,retrieved,reported_total,cap,capped,error
semantic_scholar,search-q1-aukema-mpb-spatiotemporal,"""mountain pine beetle"" (spatiotemporal | ""spatial synchrony"" | ""spatial dynamics"" | ""outbreak development"")",48,48,3000,False,
semantic_scholar,search-q2-spread-rate-methods,"(""spread rate"" | ""invasion speed"" | ""rate of spread"" | ""range expansion"") (estimat* | method* | model*) (insect | invasion | population)",3000,4344,3000,True,
semantic_scholar,search-q2b-kpp-skellam,"(Skellam | ""reaction-diffusion"" | ""Kolmogorov-Petrovsky-Piskunov"" | ""travelling wave"" | ""traveling wave"") (invasion | ""population spread"" | ""biological invasion"")",1131,1131,3000,False,
semantic_scholar,search-q3-mpb-spread-rate,"""mountain pine beetle"" (spread | expansion | ""range expansion"" | ""km per year"" | ""kilometres per year"")",308,308,3000,False,
semantic_scholar,search-q4-mpb-dispersal,"(""mountain pine beetle"" | Dendroctonus) (dispersal | flight | ""long-distance"" | ""long distance dispersal"" | ""above canopy"")",362,362,3000,False,
semantic_scholar,search-q5-synchrony-methods,"(""spatial synchrony"" | ""Moran effect"" | ""population synchrony"") (scale | distance | method* | estimat*)",549,549,3000,False,
semantic_scholar,search-q6-aerial-survey,"(""aerial overview survey"" | ""aerial detection survey"" | ""sketch mapping"" | ""aerial survey"") (forest | insect | defoliation | accuracy | mapping)",1824,1824,3000,False,
semantic_scholar,search-q7-landsat-dating,"(Landsat) (""disturbance"" | ""forest change"") (LandTrendr | CCDC | ""time series"" | ""dating"" | ""detection accuracy"" | ""temporal accuracy"")",1038,1038,3000,False,
semantic_scholar,search-q8-spatial-regimes,"(""pulsed"" | ""pulsating"" | ""patchy"") (""invasion front"" | ""spread front"" | ""range expansion"") | (""bifurcation"" (spatial | ""spreading population"" | ""invasion front""))",3000,8968,3000,True,
semantic_scholar,search-q9-feigenbaum-eco,Feigenbaum (ecology | ecological | population | insect | outbreak),93,93,3000,False,
openalex,search-q1-aukema-mpb-spatiotemporal,"""mountain pine beetle"" AND (spatiotemporal OR ""spatial synchrony"")",41,41,3000,False,
openalex,search-q2-spread-rate-methods,"(""spread rate"" OR ""invasion speed"" OR ""rate of spread"") AND (insect OR invasion)",1400,1401,3000,False,
openalex,search-q2b-kpp-skellam,"(""reaction-diffusion"" OR ""travelling wave"" OR ""traveling wave"") AND (""population spread"" OR ""biological invasion"")",145,145,3000,False,
openalex,search-q3-mpb-spread-rate,"""mountain pine beetle"" AND (spread OR ""range expansion"")",332,332,3000,False,
openalex,search-q4-mpb-dispersal,"(""mountain pine beetle"" OR Dendroctonus) AND dispersal",226,226,3000,False,
openalex,search-q5-synchrony-methods,"(""spatial synchrony"" OR ""Moran effect"") AND (scale OR distance)",458,458,3000,False,
openalex,search-q6-aerial-survey,"(""aerial overview survey"" OR ""aerial detection survey"" OR ""sketch mapping"") AND forest",107,107,3000,False,
openalex,search-q7-landsat-dating,"Landsat AND disturbance AND (""time series"" OR LandTrendr OR CCDC)",1301,1302,3000,False,
openalex,search-q8-spatial-regimes,"(""invasion front"" OR ""spread front"") AND (pulsed OR pulsating OR patchy OR bifurcation)",68,68,3000,False,
openalex,search-q9-feigenbaum-eco,Feigenbaum AND (ecology OR population OR insect),120,120,3000,False,
semantic_scholar,chase1-references-Aukema_2006,DOI:10.1111/j.2006.0906-7590.04445.x,0,0,3000,False,
semantic_scholar,chase1-citations-Aukema_2006,DOI:10.1111/j.2006.0906-7590.04445.x,243,243,3000,False,
semantic_scholar,chase1-references-Perevaryukha_2016,DOI:10.1134/S0006350916020147,0,0,3000,False,
semantic_scholar,chase1-citations-Perevaryukha_2016,DOI:10.1134/S0006350916020147,0,0,3000,False,
semantic_scholar,chase1-references-Perevaryukha_2019,DOI:10.1007/s10559-019-00119-6,0,0,3000,False,
semantic_scholar,chase1-citations-Perevaryukha_2019,DOI:10.1007/s10559-019-00119-6,0,0,3000,False,
openalex,chase1-references-Aukema_2006,DOI:10.1111/j.2006.0906-7590.04445.x,62,64,3000,False,
openalex,chase1-references-Perevaryukha_2016,DOI:10.1134/S0006350916020147,20,21,3000,False,
openalex,chase1-references-Perevaryukha_2019,DOI:10.1007/s10559-019-00119-6,16,16,3000,False,
