"year","mission","scenes"
1984,"L5 TM",428
1984,"L7 ETM+",0
1984,"L8 OLI",0
1984,"L9 OLI-2",0
1985,"L5 TM",483
1985,"L7 ETM+",0
1985,"L8 OLI",0
1985,"L9 OLI-2",0
1986,"L5 TM",537
1986,"L7 ETM+",0
1986,"L8 OLI",0
1986,"L9 OLI-2",0
1987,"L5 TM",492
1987,"L7 ETM+",0
1987,"L8 OLI",0
1987,"L9 OLI-2",0
1988,"L5 TM",505
1988,"L7 ETM+",0
1988,"L8 OLI",0
1988,"L9 OLI-2",0
1989,"L5 TM",473
1989,"L7 ETM+",0
1989,"L8 OLI",0
1989,"L9 OLI-2",0
1990,"L5 TM",538
1990,"L7 ETM+",0
1990,"L8 OLI",0
1990,"L9 OLI-2",0
1991,"L5 TM",531
1991,"L7 ETM+",0
1991,"L8 OLI",0
1991,"L9 OLI-2",0
1992,"L5 TM",582
1992,"L7 ETM+",0
1992,"L8 OLI",0
1992,"L9 OLI-2",0
1993,"L5 TM",548
1993,"L7 ETM+",0
1993,"L8 OLI",0
1993,"L9 OLI-2",0
1994,"L5 TM",566
1994,"L7 ETM+",0
1994,"L8 OLI",0
1994,"L9 OLI-2",0
1995,"L5 TM",578
1995,"L7 ETM+",0
1995,"L8 OLI",0
1995,"L9 OLI-2",0
1996,"L5 TM",527
1996,"L7 ETM+",0
1996,"L8 OLI",0
1996,"L9 OLI-2",0
1997,"L5 TM",549
1997,"L7 ETM+",0
1997,"L8 OLI",0
1997,"L9 OLI-2",0
1998,"L5 TM",586
1998,"L7 ETM+",0
1998,"L8 OLI",0
1998,"L9 OLI-2",0
1999,"L5 TM",514
1999,"L7 ETM+",485
1999,"L8 OLI",0
1999,"L9 OLI-2",0
2000,"L5 TM",96
2000,"L7 ETM+",616
2000,"L8 OLI",0
2000,"L9 OLI-2",0
2001,"L5 TM",303
2001,"L7 ETM+",646
2001,"L8 OLI",0
2001,"L9 OLI-2",0
2002,"L5 TM",440
2002,"L7 ETM+",644
2002,"L8 OLI",0
2002,"L9 OLI-2",0
2003,"L5 TM",636
2003,"L7 ETM+",286
2003,"L8 OLI",0
2003,"L9 OLI-2",0
2004,"L5 TM",597
2004,"L7 ETM+",662
2004,"L8 OLI",0
2004,"L9 OLI-2",0
2005,"L5 TM",598
2005,"L7 ETM+",478
2005,"L8 OLI",0
2005,"L9 OLI-2",0
2006,"L5 TM",665
2006,"L7 ETM+",530
2006,"L8 OLI",0
2006,"L9 OLI-2",0
2007,"L5 TM",649
2007,"L7 ETM+",509
2007,"L8 OLI",0
2007,"L9 OLI-2",0
2008,"L5 TM",634
2008,"L7 ETM+",505
2008,"L8 OLI",0
2008,"L9 OLI-2",0
2009,"L5 TM",636
2009,"L7 ETM+",490
2009,"L8 OLI",0
2009,"L9 OLI-2",0
2010,"L5 TM",541
2010,"L7 ETM+",520
2010,"L8 OLI",0
2010,"L9 OLI-2",0
2011,"L5 TM",525
2011,"L7 ETM+",538
2011,"L8 OLI",0
2011,"L9 OLI-2",0
2012,"L5 TM",0
2012,"L7 ETM+",611
2012,"L8 OLI",0
2012,"L9 OLI-2",0
2013,"L5 TM",0
2013,"L7 ETM+",624
2013,"L8 OLI",693
2013,"L9 OLI-2",0
2014,"L5 TM",0
2014,"L7 ETM+",670
2014,"L8 OLI",678
2014,"L9 OLI-2",0
2015,"L5 TM",0
2015,"L7 ETM+",674
2015,"L8 OLI",688
2015,"L9 OLI-2",0
2016,"L5 TM",0
2016,"L7 ETM+",661
2016,"L8 OLI",640
2016,"L9 OLI-2",0
2017,"L5 TM",0
2017,"L7 ETM+",656
2017,"L8 OLI",664
2017,"L9 OLI-2",0
2018,"L5 TM",0
2018,"L7 ETM+",665
2018,"L8 OLI",686
2018,"L9 OLI-2",0
2019,"L5 TM",0
2019,"L7 ETM+",647
2019,"L8 OLI",662
2019,"L9 OLI-2",0
2020,"L5 TM",0
2020,"L7 ETM+",603
2020,"L8 OLI",631
2020,"L9 OLI-2",0
2021,"L5 TM",0
2021,"L7 ETM+",634
2021,"L8 OLI",673
2021,"L9 OLI-2",0
2022,"L5 TM",0
2022,"L7 ETM+",657
2022,"L8 OLI",704
2022,"L9 OLI-2",686
2023,"L5 TM",0
2023,"L7 ETM+",646
2023,"L8 OLI",703
2023,"L9 OLI-2",690
2024,"L5 TM",0
2024,"L7 ETM+",0
2024,"L8 OLI",650
2024,"L9 OLI-2",682
2025,"L5 TM",0
2025,"L7 ETM+",0
2025,"L8 OLI",697
2025,"L9 OLI-2",696
